window_number,timeline,best_seed,max_net,price_change_pct,action_count,window_size,action_sequence
1,2024-01-02 ถึง 2024-02-13,10401,81.22,-13.33,12,30,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1]"
2,2024-02-14 ถึง 2024-03-27,28016,146.64,-21.02,8,30,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,2024-03-28 ถึง 2024-05-09,19764,125.55,8.13,11,30,"[1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
4,2024-05-10 ถึง 2024-06-24,19531,192.03,11.3,11,30,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1]"
5,2024-06-25 ถึง 2024-08-06,4072,73.05,-22.8,14,30,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]"
6,2024-08-07 ถึง 2024-09-18,12547,128.11,56.79,11,30,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0]"
7,2024-09-19 ถึง 2024-10-30,19367,31.41,-0.7,15,30,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1]"
8,2024-10-31 ถึง 2024-12-12,20556,151.57,-21.52,15,30,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]"
9,2024-12-13 ถึง 2025-01-29,21389,88.3,-22.83,14,30,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
10,2025-01-30 ถึง 2025-03-13,13506,498.0,-62.23,9,30,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
11,2025-03-14 ถึง 2025-04-25,25275,139.5,-18.52,9,30,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1]"
12,2025-04-28 ถึง 2025-06-09,23600,135.43,16.1,11,30,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1]"
